该产品已经过两次老化前测试, 第二次测试时间为： 2019-3-23 0:0:0
该产品已经过亮度测试, 测试时间为： 2019-3-23 0:0:0
机身码为：215848432的产品已经过亮度测试, 测试时间为： 2019-3-23 0:0:0
机身码为：180918128的产品已经过亮度测试, 测试时间为： 2019-3-23 0:0:0
机身码为：233706280的产品已经过亮度测试, 测试时间为： 2019-3-23 0:0:0
机身码为：113788240的产品已经过亮度测试, 测试时间为： 2019-3-23 0:0:0
机身码为：113788240的产品已经过亮度测试, 测试时间为： 2019-3-24 0:0:0
机身码为：235653640的产品已经过亮度测试, 测试时间为： 2019-3-23 0:0:0
机身码为：235653640的产品已经过亮度测试, 测试时间为： 2019-3-24 0:0:0
机身码为：235468456的产品已经过亮度测试, 测试时间为： 2019-3-23 0:0:0
机身码为：235468456的产品已经过亮度测试, 测试时间为： 2019-3-24 0:0:0
机身码为：235468456的产品已经过亮度测试, 测试时间为： 2019-3-25 0:0:0
机身码为：235468456的产品已经过亮度测试, 测试时间为： 2019-3-26 0:0:0
机身码为：100的产品已经过亮度测试, 测试时间为： 2019-3-23 0:0:0
机身码为：101的产品已经过亮度测试, 测试时间为： 2019-3-24 0:0:0
机身码为：11的产品已经过亮度测试, 测试时间为： 2019-3-25 0:0:0
机身码为：12的产品已经过亮度测试, 测试时间为： 2019-3-26 0:0:0
机身码为：100的产品已经过亮度测试, 测试时间为： 2019-3-23 0:0:0
机身码为：101的产品已经过亮度测试, 测试时间为： 2019-3-24 0:0:0
机身码为：12的产品已经过亮度测试, 测试时间为： 2019-3-26 0:0:0
机身码为：100的产品已经过亮度测试, 测试时间为： 2019-3-23 0:0:0
机身码为：101的产品已经过亮度测试, 测试时间为： 2019-3-24 0:0:0
机身码为：11的产品已经过亮度测试, 测试时间为： 2019-3-25 0:0:0
机身码为：12的产品已经过亮度测试, 测试时间为： 2019-3-26 0:0:0
机身码为：100的产品已经过亮度测试, 测试时间为： 2019-3-23 0:0:0
机身码为：101的产品已经过亮度测试, 测试时间为： 2019-3-24 0:0:0
机身码为：11的产品已经过亮度测试, 测试时间为： 2019-3-25 0:0:0
机身码为：100的产品已经过亮度测试, 测试时间为： 2019-3-23 0:0:0
机身码为：101的产品已经过亮度测试, 测试时间为： 2019-3-24 0:0:0
机身码为：11的产品已经过亮度测试, 测试时间为： 2019-3-25 0:0:0
机身码为：12的产品已经过亮度测试, 测试时间为： 2019-3-26 0:0:0
机身码为：100的产品已经过亮度测试, 测试时间为： 2019-3-23 0:0:0
机身码为：101的产品已经过亮度测试, 测试时间为： 2019-3-24 0:0:0
机身码为：11的产品已经过亮度测试, 测试时间为： 2019-3-25 0:0:0
机身码为：12的产品已经过亮度测试, 测试时间为： 2019-3-26 0:0:0
机身码为：100的产品已经过亮度测试, 测试时间为： 2019-3-23 0:0:0
机身码为：101的产品已经过亮度测试, 测试时间为： 2019-3-24 0:0:0
